"1 November","14:39","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","Gotham City","Earth No.2 Next to BWYA","114-5141-9198","bat@paet.com","Mr. Ambler"
"1 November","13:47","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"2 November","09:00","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Ray Gun Ammo","$ 1,800,000,000,000.00","1,000,000 kg","Military","BWYA","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"2 November","10:03","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Energy Bars","$ 2.00","0.01 kg","Food","Sodexo","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"3 November","12:20","The Incredible Sulk","Antao","Beijing Superbathroom","186-1072-7130","1801107002@wya.top","2022-10-26","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","North Pole","1 North Pole Avenue","170-1919-9191","Horthpale@maile.com","Ms. Chen"
"3 November","12:39","Copper Man","Charles","Mineral Avenue","150-7891-7871","copperman@who.com","2004-11-15","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"3 November","13:19","Captain Inner Mongolia","Cris","Mongolia Center 101, Building M9","170-4351-2677","mongolia@gmail.com","2005-04-08","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"3 November","11:11","Copper Man","Charles","Mineral Avenue","150-7891-7871","copperman@who.com","2004-11-15","Cape & Underpants Combination","$ 25.00","0.2 kg","Clothing","Franklin United","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"3 November","15:43","Blunder Woman","Franklin","Crazy Land","173-1023-0073","blunder@gmail.com","2005-01-21","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"3 November","16:45","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Moon Base","Moontartica","139-1670-2342","gTienc_morn@moon.edu","Mr. K"
"3 November","12:07","Copper Man","Charles","Mineral Avenue","150-7891-7871","copperman@who.com","2004-11-15","Energy Bars","$ 2.00","0.01 kg","Food","Sodexo","Moon Base","Moontartica","139-1670-2342","gTienc_morn@moon.edu","Mr. K"
"3 November","15:21","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Tin Foil Hat","$ 50.00","0.001 kg","Accessories","Metal Inc","Moon Base","Moontartica","139-1670-2342","gTienc_morn@moon.edu","Mr. K"
"4 November","11:17","Blunder Woman","Franklin","Crazy Land","173-1023-0073","blunder@gmail.com","2005-01-21","Energy Bars","$ 2.00","0.01 kg","Food","Sodexo","Moon Base","Moontartica","139-1670-2342","gTienc_morn@moon.edu","Mr. K"
"5 November","16:38","Blunder Woman","Franklin","Crazy Land","173-1023-0073","blunder@gmail.com","2005-01-21","Energy Bars","$ 2.00","0.01 kg","Food","Sodexo","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"5 November","14:31","Splash","Rain","Atom Park Building 7 Room203","175-3871-1292","splash@who.com","2021-05-13","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Moon Base","Moontartica","139-1670-2342","gTienc_morn@moon.edu","Mr. K"
"5 November","16:18","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Toilet Paper","$ 0.99","2.5 g","Toilet Treats","Toilet-Hero","Wang Fujing","Beijing City, Wang Fujing Road, Room 101","312-4116-7214","WF@gamil.com","Ms. Guan"
"5 November","12:19","Batty Girl","Eric","Wanderful Land, Utopia","157-1125-6522","ericshayilin@gmail.com","2005-02-16","Cryptonite","$ 90,000.00","10 kg","Weaponry","Luther Limited","Atlantis","Pacific Ocean, Area B, Level 3, Room 41","100-4444-3333","atlantis@gmail.com","Mr. Haysom"
"5 November","15:42","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Cape & Underpants Combination","$ 25.00","0.2 kg","Clothing","Franklin United","Parallel Universe","Universe of Parallel Office, Room 8","000-0000-0000","111111@wya.top","Mr. Hugo"
"5 November","08:58","Soup Man","Mr. Ambler","BWYA","156-0006-6720","Ambler@gmail.com","2022-01-22","Plaster of Paris Arm Cast","$ 12.90","3 kg","Health","J & J Health","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
"5 November","08:27","The Amazing Cockroach Man","Frank","Underground Kitchen D4 201","114-1519-4476","cm@gmail.com","2004-01-01","Criminal Justice Monthly","$ 1.00","0.001 kg","Criminal","IKEA","Antarctica","Earth No.1","173-1023-0073","ice@gmail.com","Ms. Sophie"
